x y
0 0
1 nan
2 nan
3 -0.9176629354822472
4 -0.5345224838248488
5 -0.31943828249996997
6 -0.4949505799117969
7 -0.40843586147787814
8 -0.6433215122174702
9 -0.6346630624175341
10 -0.5884601194256228
11 -0.589199093653218
12 -0.6203679999110783
13 -0.5762292261941973
14 -0.5703962461375325
15 -0.5543822634664276
16 -0.4894250357973299
17 -0.4896669158420054
18 -0.39468880512506693
19 -0.3216054705030655
20 -0.3355612796892692
21 -0.3326637210015209
22 -0.4123892114088174
23 -0.40845652729988
24 -0.39768271396028676
25 -0.349923887583405
26 -0.3348588943166303
27 -0.3788827306068773
28 -0.423529862205094
29 -0.387181980264429
30 -0.4135963018975032
31 -0.36974796179274355
32 -0.3687602168641288
33 -0.27946269235178667
34 -0.26210802273374423
35 -0.26275879447882966
36 -0.2878817919201723
37 -0.2791865584040003
38 -0.32052815741628365
39 -0.3202484774456192
40 -0.2725037281929036
41 -0.2729236153486335
42 -0.2399672605084433
43 -0.2402985056284962
44 -0.2695023249369565
45 -0.29156152671842706
46 -0.28400267481044944
47 -0.28771440804793313
48 -0.2865951023446285
49 -0.2984728259635488
50 -0.30138701709543525
51 -0.3019637284908417
52 -0.3312102895542185
53 -0.3582897344427461
54 -0.3404059144753443
55 -0.3401679305812075
56 -0.33451019904359913
57 -0.35922139147983634
58 -0.35978502199612017
59 -0.3575022542829054
